SITE_NUMBER,SITE_ID,SERIAL_NUMBER,DATE,TIME,TimeString,LANE,LANE_DETAILS,DIRECTION,DIRECTION_NUMBER,SPEED,SPEED_MPH,CLASS_INDEX,CLASS,LENGTH,AXLES,WHEELBASE,VALIDITY,STRADDLE,OVERLOADED,GROSS,HEADWAY,GAP,TIME_GAP,LEGAL_STATUS,CHASSIS_CODE,TEMP,AX_WT1,AX_WT2,AX_WT3,AX_WT4,AX_WT5,AX_WT6,AX_WT7,AX_WT8,AX_WT9,AX_WT10,AX_WT11,AX_WT12,AX_WT13,AX_WT14,AX_WT15,AX_WT16,AX_WT17,AX_WT18,AX_WT19,AX_WT20,AX_WT21,AX_WT22,AX_WT23,AX_WT24,AX_WT25,AXLE_TYPE_1,AXLE_TYPE_2,AXLE_TYPE_3,AXLE_TYPE_4,AXLE_TYPE_5,AXLE_TYPE_6,AXLE_TYPE_7,AXLE_TYPE_8,AXLE_TYPE_9,AXLE_TYPE_10,AXLE_TYPE_11,AXLE_TYPE_12,AXLE_TYPE_13,AXLE_TYPE_14,AXLE_TYPE_15,AXLE_TYPE_16,AXLE_TYPE_17,AXLE_TYPE_18,AXLE_TYPE_19,AXLE_TYPE_20,AXLE_TYPE_21,AXLE_TYPE_22,AXLE_TYPE_23,AXLE_TYPE_24,AXLE_TYPE_25,AX_SP1,AX_SP2,AX_SP3,AX_SP4,AX_SP5,AX_SP6,AX_SP7,AX_SP8,AX_SP9,AX_SP10,AX_SP11,AX_SP12,AX_SP13,AX_SP14,AX_SP15,AX_SP16,AX_SP17,AX_SP18,AX_SP19,AX_SP20,AX_SP21,AX_SP22,AX_SP23,AX_SP24,FRONT_MIN_CHASSIS,FRONT_MAX_CHASSIS,MIDDLE_MIN_CHASSIS,MIDDLE_MAX_CHASSIS,REAR_MIN_CHASSIS,REAR_MAX_CHASSIS,
5001,4865,505736,13/07/2018 00:00:00,30/12/1899 00:11:16,00:11:16:000,1,                                        ,NORTHBOUND,1,27,17,70,CYCLE,100,2,106,0,0,N,280,600000,10000,600000,0,0,25,100,180,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505737,13/07/2018 00:00:00,30/12/1899 00:12:06,00:12:06:700,1,                                        ,SOUTHBOUND,2,22,14,110,2N,70,2,77,6,0,N,0,50700,10000,50567,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505738,13/07/2018 00:00:00,30/12/1899 00:22:26,00:22:26:600,1,                                        ,NORTHBOUND,1,25,16,70,CYCLE,100,2,102,0,0,N,330,600000,10000,600000,0,0,25,130,200,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505739,13/07/2018 00:00:00,30/12/1899 00:24:09,00:24:09:800,1,                                        ,NORTHBOUND,1,29,18,70,CYCLE,100,2,102,0,0,N,310,103200,10000,103056,0,0,25,110,200,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505740,13/07/2018 00:00:00,30/12/1899 00:26:03,00:26:03:900,1,                                        ,NORTHBOUND,1,29,18,70,CYCLE,100,2,104,0,0,N,280,114100,10000,113976,0,0,25,90,190,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505741,13/07/2018 00:00:00,30/12/1899 00:26:09,00:26:09:000,1,                                        ,NORTHBOUND,1,21,13,70,CYCLE,100,2,100,0,0,N,330,5100,10000,4976,0,0,25,130,200,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505742,13/07/2018 00:00:00,30/12/1899 00:30:34,00:30:34:300,1,                                        ,NORTHBOUND,1,20,12,110,2N,30,2,37,4,0,N,0,265300,10000,265129,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505743,13/07/2018 00:00:00,30/12/1899 00:34:39,00:34:39:700,1,                                        ,SOUTHBOUND,2,15,9,70,CYCLE,100,2,107,2,0,N,440,245400,10000,245346,0,0,25,140,300,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505744,13/07/2018 00:00:00,30/12/1899 00:35:36,00:35:36:800,1,                                        ,NORTHBOUND,1,23,14,70,CYCLE,100,2,103,0,0,N,360,57100,10000,56860,0,0,25,120,240,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505745,13/07/2018 00:00:00,30/12/1899 00:39:29,00:39:29:000,1,                                        ,NORTHBOUND,1,14,9,70,CYCLE,100,2,100,0,0,N,260,232200,10000,232043,0,0,25,110,150,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505746,13/07/2018 00:00:00,30/12/1899 00:43:02,00:43:02:000,1,                                        ,NORTHBOUND,1,27,17,70,CYCLE,90,2,98,0,0,N,400,213000,10000,212743,0,0,25,160,240,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505747,13/07/2018 00:00:00,30/12/1899 00:48:38,00:48:38:900,1,                                        ,NORTHBOUND,1,23,14,70,CYCLE,90,2,97,0,0,N,360,336900,10000,336780,0,0,25,130,230,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505748,13/07/2018 00:00:00,30/12/1899 00:50:37,00:50:37:400,1,                                        ,NORTHBOUND,1,23,14,70,CYCLE,90,2,98,0,0,N,400,118500,10000,118359,0,0,25,130,270,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505749,13/07/2018 00:00:00,30/12/1899 00:54:51,00:54:51:700,1,                                        ,SOUTHBOUND,2,22,14,71,M/C,170,2,178,2,0,N,0,254300,10000,254159,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505750,13/07/2018 00:00:00,30/12/1899 00:55:04,00:55:04:500,1,                                        ,NORTHBOUND,1,25,16,70,CYCLE,90,2,97,0,0,N,400,12800,10000,12522,0,0,25,130,270,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505751,13/07/2018 00:00:00,30/12/1899 00:58:54,00:58:54:000,1,                                        ,NORTHBOUND,1,23,14,70,CYCLE,90,2,96,0,0,N,290,229500,10000,229370,0,0,25,100,190,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505752,13/07/2018 00:00:00,30/12/1899 01:00:47,01:00:47:800,1,                                        ,NORTHBOUND,1,11,7,70,CYCLE,80,2,88,0,0,N,0,113800,10000,113659,0,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505753,13/07/2018 00:00:00,30/12/1899 01:07:36,01:07:36:700,1,                                        ,SOUTHBOUND,2,17,11,70,CYCLE,100,2,105,2,0,N,400,408900,10000,408638,0,0,24,160,240,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505754,13/07/2018 00:00:00,30/12/1899 01:14:49,01:14:49:300,1,                                        ,NORTHBOUND,1,29,18,70,CYCLE,90,2,96,0,0,N,290,432600,10000,432388,0,0,24,120,170,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505755,13/07/2018 00:00:00,30/12/1899 01:23:01,01:23:01:900,1,                                        ,SOUTHBOUND,2,24,15,70,CYCLE,90,2,99,2,0,N,320,492600,10000,492488,0,0,24,120,200,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505756,13/07/2018 00:00:00,30/12/1899 01:39:09,01:39:09:500,1,                                        ,SOUTHBOUND,2,21,13,70,CYCLE,110,2,111,2,0,N,360,600000,10000,600000,0,0,24,160,200,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505757,13/07/2018 00:00:00,30/12/1899 01:41:09,01:41:09:200,1,                                        ,NORTHBOUND,1,32,20,70,CYCLE,80,2,81,0,0,N,0,119700,10000,119511,0,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505758,13/07/2018 00:00:00,30/12/1899 02:05:35,02:05:35:000,1,                                        ,SOUTHBOUND,2,18,11,70,CYCLE,90,2,95,2,0,N,290,600000,10000,600000,0,0,24,130,160,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
5001,4865,505759,13/07/2018 00:00:00,30/12/1899 02:07:23,02:07:23:200,1,                                        ,NORTHBOUND,1,22,14,70,CYCLE,90,2,95,0,0,N,320,108200,10000,108020,0,0,24,110,210,,,,,,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
